社团ID,社团名称,手机号码,密码,大学,校区,LOGO,社团简介
100159,中山医学院南校园长学制团总支学生会,100159,,中山大学,南校园,,
100160,地院学生会,100160,,中山大学,南校园,,
100158,爱心同盟,100158,,中山大学,南校园,,
100358,旅游学院,100358,,中山大学,珠海校区,,
100073,青年志愿者协会,100073,,中山大学,东校园,,
100357,珠海校区学生会,100357,,中山大学,珠海校区,,
100119,毽球协会,100119,,中山大学,南校园,,
100161,历史学系中国近现代史科研平台,100161,,中山大学,南校园,,
100074,公卫团学联,100074,,中山大学,东校园,,
100031,学生职业生涯发展协会,100031,,中山大学,东校园,,
100359,岭南学院,100359,,中山大学,珠海校区,,
100360,国际金融学院,100360,,中山大学,珠海校区,,
100441,中国传媒大学新闻传播学部,100441,,中山大学,外校联合,,
100162,国际关系学院,100162,,中山大学,南校园,,
100075,环境科学与工程学院团委,100075,,中山大学,东校园,,
100066,爱心助学协会,100066,,中山大学,东校园,,
100153,爱心助学协会,100153,,中山大学,南校园,,
100348,爱心助学协会,100348,,中山大学,珠海校区,,
100234,爱心助学协会,100234,,中山大学,东校园,,
100442,AIESEC国家大陆区国际青年公益项目部,100442,,中山大学,外校联合,,
100323,ET街舞协会,100323,,中山大学,珠海校区,,
100355,青年志愿者协会,100355,,中山大学,珠海校区,,
100327,摄影协会,100327,,中山大学,珠海校区,,
100361,数学学院（珠海）学生会,100361,,中山大学,珠海校区,,
100324,乐元素,100324,,中山大学,珠海校区,,
100333,广播台,100333,,中山大学,珠海校区,,
100076,资讯学院团学联,100076,,中山大学,东校园,,
100021,武侠文化协会,100021,,中山大学,东校园,,
100239,北校园学生会,100239,,中山大学,北校园,,
100058,环境保护协会,100058,,中山大学,东校园,,
100163,翻译学院团委,100163,,中山大学,南校园,,
100329,青年志愿者协会,100329,,中山大学,北校园,,
100009,篮球协会,100009,,中山大学,东校园,,
100164,中文系学生会,100164,,中山大学,南校园,,
100340,中山医团学联,100340,,中山大学,北校园,,
100079,传设院团委,100079,,中山大学,东校园,,
100080,研究生会,100080,,中山大学,东校园,,
100081,图书馆,100081,,中山大学,东校园,,
100165,旅游学院团委,100165,,中山大学,南校园,,
100082,航院团学联,100082,,中山大学,东校园,,
100083,谷河南岸青年空间,100083,,中山大学,东校园,,
100166,大英荟,100166,,中山大学,南校园,,
100084,工学院团学,100084,,中山大学,东校园,,
100085,东校园学生会,100085,,中山大学,东校园,,
100167,中山医团学联,100167,,中山大学,南校园,,
100086,药学院团学,100086,,中山大学,东校园,,
100087,龙舟队,100087,,中山大学,东校园,,
101001,校团委,101001,,华南农业大学,本部,,
100362,国金院团委,100362,,中山大学,珠海校区,,
