ID,阶段数量,开始时间,结束时间,地点,内容,推送链接,activity_id
1,1,"2018-04-02 00:00:00","2018-04-06 21:00:00","线上","第一批报名",,1
2,2,"2018-04-08 16:00:00","2018-04-08 18:00:00","待确定","第一批培训会",,1
3,3,"2018-04-14 00:00:00","2018-05-19 23:59:59","广州市市区内（包括陪伴流动儿童的多条线路）","第一批活动",,1
4,4,"2018-05-13 00:00:00","2018-05-18 21:00:00","线上","第二批报名",,1
5,5,"2018-05-26 00:00:00","2018-06-23 23:59:59","广州市市区内（包括陪伴流动儿童的多条线路）","第二批活动",,1
6,1,"2018-04-04 00:00:00","2018-04-09 23:59:59","各班体委，线上","报名",,2
7,2,"2018-04-14 00:00:00","2018-04-14 23:59:59","中山大学南校区顺客隆篮球场","初赛1",,2
8,3,"2018-04-15 00:00:00","2018-04-15 23:59:59","中山大学南校区顺客隆篮球场","初赛2",,2
9,4,"2018-04-21 00:00:00","2018-04-21 23:59:59","中山大学南校区顺客隆篮球场","决赛",,2
10,1,"2018-03-19 00:00:00","2018-05-27 23:47:00","待确定","报名",,3
11,1,"2000-01-01 00:00:00","2018-04-14 23:59:59","线上","报名",,4
12,2,"2018-04-14 00:00:00","2018-04-14 23:59:59","珠海市多片区（海滨泳场、海滨公园、华发商都、富华里、愚园、白沙河商业街）","活动日",,4
13,1,"2018-04-14 00:00:00","2018-04-14 23:59:59","东校园三饭小广场","活动日",,5
14,1,"2000-01-01 00:00:00","2018-04-22 23:59:59","线上","报名招募",,6
15,1,"2018-04-14 15:00:00","2018-04-14 17:30:00","南校区120栋对面羽毛球场","比赛日",,7
16,1,"2018-04-23 00:00:00","2018-04-25 23:59:59","线上","报名",,8
17,2,"2018-04-23 09:30:00","2018-04-23 23:59:59","模范村521栋二楼讲学厅","【第一讲】 《灰劫昆明——述事言情之悲剧》 ",,8
18,3,"2018-04-24 09:30:00","2018-04-24 23:59:59","模范村521栋二楼讲学厅","【第二讲】 《红豆生春——千古合流之幻境》",,8
19,4,"2018-04-25 20:46:00","2018-04-25 23:59:59","模范村521栋二楼讲学厅","【第三讲】 《古董先生——颠倒阴阳之戏笔》",,8
20,1,"2018-04-09 08:00:00","2018-04-13 23:59:59","线上","每日早餐评分",,9
21,2,"2018-04-24 14:00:00","2018-04-24 23:59:59","三饭小广场","DIY蛋糕大赛",,9
22,1,"2018-04-02 00:00:00","2018-04-13 23:06:00","线上","报名",,10
23,2,"2018-04-15 00:00:00","2018-04-15 23:59:59","东校园","初赛，提交策划书",,10
24,3,"2018-04-22 00:00:00","2018-04-22 23:59:59","东校园","评分结果公布",,10
25,4,"2018-05-01 00:00:00","2018-05-01 23:59:59","东校园","评分明细发放",,10
26,1,"2018-04-14 00:00:00","2018-04-14 14:00:00","线上","报名",,11
27,2,"2018-04-14 14:30:00","2018-04-14 23:59:59","南校园叶葆定堂三楼礼堂","中大决赛",,11
28,3,"2018-04-11 16:30:00","2018-04-11 18:30:00","中大南校园 亲新广场","摆台Day 1",,11
29,4,"2018-04-12 10:30:00","2018-04-12 12:30:00","中大南校园 亲新广场","摆台Day 2-1",,11
30,5,"2018-04-12 16:30:00","2018-04-12 18:30:00","中大南校园 亲新广场","摆台Day 2-2",,11
31,1,"2018-03-28 00:00:00","2018-04-08 23:59:59","线上","报名",,12
32,1,"2017-12-18 00:00:00","2018-05-05 23:59:59","线上","线上征稿",,13
33,2,"2018-05-15 00:00:00","2018-05-15 23:59:59","线上","公布获奖结果",,13
34,1,"2000-01-01 00:00:00","2018-04-10 23:59:59","线上","报名",,14
35,2,"2018-05-25 00:00:00","2018-05-25 23:59:59","南校园","开幕",,14
