活动ID,社团ID,"活动简称","活动全称",活动描述,活动类别,活动海报,活动LOGO,"推送链接","体育章","公益时","奖金奖品","其他奖励"
1,"青草·羊城游学","2018·青草羊城游学公益活动",,,,,"https://mp.weixin.qq.com/s/ASr3WtXN1Ljiv2j3uHVVgQ","无","2+8n","无","每次有交通补贴十元",100159,
2,"躲避球比赛","2018·躲避球比赛",,,,,"https://mp.weixin.qq.com/s/MMHC81qw3jpvDlA3lp6e2g","无","无","无","无",100160
3,"花城逆光公益摄影","2018·花城逆光公益摄影",,,,,"https://mp.weixin.qq.com/s?__biz=MzU1NDUzODUwMw==&mid=2247483745&idx=1&sn=5d67e12661ad8ac96bcf074288f4401e&chksm=fbe34209cc94cb1f5eb7d4ec5754504ee39a4b74cfc5209626c02de3644e6d63b6ff809aee40&mpshare=1&scene=1&srcid=0410GQzqnTOCwGC9FsX6bnad#rd","无","5~10个","无","无",100158
4,"城市鲁滨逊定向越野","2018·珠海城市鲁宾逊定向越野",,,,,"http://mp.weixin.qq.com/s/lOEofv0ntI_H9Qm-m0BskA",43229,15,"众多精彩奖品","无",100358
5,"服务一条街团体招募","2018·服务一条街·团体招募",,,,,"https://mp.weixin.qq.com/s/-k5ySTHz1Zz9YVJBOqHnmA","无","据说有大把","无","无",100073
6,"蓝信封大师招募","2018·蓝信封21T通信大使招募",,,,,"https://mp.weixin.qq.com/s/ti5Qsrtc5CGWcMQPbsyiJA","无","N","无","无",100357
7,"毽球技巧赛","2018·“毽仁毽智”毽球技巧赛",,,,,"https://mp.weixin.qq.com/s?__biz=MjM5MzI1MTc3Nw==&mid=2651826819&idx=1&sn=eb4b2f37310dd081993fa87debd388c4&chksm=bd62e22d8a156b3b92b14667750b8089afca3f8ba4ff69ff5878581e261bc45b7d631a464b41&mpshare=1&scene=1&srcid=0410eF4q0ZGQNYVXQWGETyqA#rd","前8名可获体育积分","无","前8名可获得专属奖品，更多小奖品放送","无",100119
8,"读《柳如是别传》系列讲座","“咏红豆——暝写斋主人的绝唱“：读《柳如是别传》系列讲座",,,,,"https://mp.weixin.qq.com/s/xqE59tVTIp6bmXJMPPk8Mg","无","无","无","无",100161
9,"满分早餐计划","2018·营养月 | 古德猫柠满分早餐计划",,,,,"https://mp.weixin.qq.com/s/suIJw44b3Wmles_hSbWhsg","无","无","趣味奖品+打卡奖励","打卡奖励",100074
10,"FC精英挑战赛","2018·FC精英挑战赛",,,,,"http://mp.weixin.qq.com/s/6wSJrYpmrO7UO28Y6HS0YQ","无","无","冠军奖金1000元 亚军800元 季军500元","校级奖状+面试绿卡",100031
11,"“毕马威”案例分析大赛","“毕马威”第十五届企业文化案例分析大赛中山大学决赛/全国决赛",,,,,"https://mp.weixin.qq.com/s/SLdohCXEdSZd6p_TIUGhiA","无","无","精美大奖放送","无",100359
12,"CTG商业技能提升赛","第二届CTG商业技能提升赛",,,,,"https://mp.weixin.qq.com/s/P62tE1A__aEHU7wXmP2Scg","无","无","无","无",100360
13,"“光影行止”大学生摄影赛","第五届“光影行止”全国大学生摄影大赛征稿",,,,,"https://mp.weixin.qq.com/s/DpAa_bxbktenOoLCH9twSQ","无","无","无","无",100441
14,"中大模联","中山大学第十届模拟联合国大会",,,,,"http://mp.weixin.qq.com/s?__biz=MzIzMjAzNjc2OA==&mid=2651501465&idx=1&sn=1209752e5e124726a4620dad425ac063&chksm=f3651356c4129a40b4b1014889b803e51edff07a451ae0630b256b91c6b81979a610605a64d2&mpshare=1&scene=23&srcid=0411rQU7fnP0paCFQ0quYNQr#rd","无","无","无","校级奖状",100162
15,"“新闻外交官”大赛","中山大学首届“新闻外交官”大赛",,,,,"http://mp.weixin.qq.com/s?__biz=MzIzMjAzNjc2OA==&mid=2651501507&idx=2&sn=42a527f1b74302d7c8f6b26eeb68f9af&chksm=f365130cc4129a1ab6b7bfdd7bab3054e0db0a7fddd0c31989797f375d392041991b8fdd05e9&mpshare=1&scene=23&srcid=0411ib4jlFQeC2PzEmDCvnZx#rd","无","无","无","优胜证书",100162
16,"环保之星挑战赛","2018·环保之星挑战赛",,,,,"http://mp.weixin.qq.com/s/R2hqYhoh4dhJOIoUAIafNQ","无","8-24个","一等奖3000元","无",100075
17,"爱助考察队员招募","2018·爱助考察队员招募",,,,,"http://mp.weixin.qq.com/s/1TkfwSCEWfRPiVkojRn86Q","无","100个以上","无","无",100066
18,"爱助考察队员招募","2018·爱助考察队员招募",,,,,"http://mp.weixin.qq.com/s/1TkfwSCEWfRPiVkojRn86Q","无","100个以上","无","无",100153
19,"爱助考察队员招募","2018·爱助考察队员招募",,,,,"http://mp.weixin.qq.com/s/1TkfwSCEWfRPiVkojRn86Q","无","100个以上","无","无",100348
20,"爱助考察队员招募","2018·爱助考察队员招募",,,,,"http://mp.weixin.qq.com/s/1TkfwSCEWfRPiVkojRn86Q","无","100个以上","无","无",100234
21,"本地志愿者招募","2018·本地志愿者招募",,,,,"http://mp.weixin.qq.com/s/H-giC1vJIZrIG5ZlHyn9FQ","无","无","无","无",100442
22,"大观生命标本馆参观","第六届Med-Voice医学节——大观生命活动",,,,,"https://mp.weixin.qq.com/s/hZjpBzj3tHJkbeYh6DcRDQ","无","无","无","无",100159
23,"U.F.O街舞大赛","UFO广东省校园街舞大赛",,,,,"http://mp.weixin.qq.com/s?__biz=MzA5MzAxNDYwMw==&mid=2649272092&idx=1&sn=291573f3f9087aba60d7d5090fb68e58&chksm=88785038bf0fd92e9e406a724006f09bd393693933ddbb20259cda48779db29f54a64849cf32&mpshare=1&scene=23&srcid=0404lRk5GkYyefgpYVOCBFCb#rd","无","无","Funkstyle 冠军：888RMB 亚军 666RMB Freestyle 冠军：1000RMB 亚军 888RMB","惠普N次元街舞大赛决赛资格",100323
24,"“公益新镜界”摄影大赛","2018·“公益新镜界”摄影大赛",,,,,"https://mp.weixin.qq.com/s/Cw8cslPgMDPxG6iE1lR9dQ","无","无","航拍机等奖品","无",100355
25,"“公益新镜界”摄影大赛","2018·“公益新镜界”摄影大赛",,,,,"https://mp.weixin.qq.com/s/Cw8cslPgMDPxG6iE1lR9dQ","无","无","航拍机等奖品","无",100327
26,"“智·商”商业技能大赛","第九届中山大学“智·商”商业技能大赛",,,,,"https://mp.weixin.qq.com/s/s5RVRcIXOkrhdye2Si0pfg","无","无","无","无",100360
27,"中珠数学节","第二届中珠数学节",,,,,"http://mp.weixin.qq.com/s/VJfPse3G7SmlKpdvJdmL1A","无","无","无","无",100361
28,"中大答人","2018·中大答人争霸赛",,,,,"http://mp.weixin.qq.com/s/OglMrE5Osd15lPNV2RkVJw",43164,"无","现场抽奖","无",100357
29,"草地音乐会","2018·乐元素草地音乐会",,,,,"http://mp.weixin.qq.com/s/90UVn6mC53ZxSk_46OW9Ug","无","无","无","无",100324
30,"维纳斯歌手大赛","第三十二届维纳斯歌手大赛",,,,,"https://mp.weixin.qq.com/s/uGg0gqXypn5Pb-fW2Iiq5Q","无","无","无","无",100333
31,"ISAC信息大赛","2018·ISAC信息搜索与分析大赛",,,,,"http://mp.weixin.qq.com/s/5N7Cn5aCVVg6s_4bjEfADA","无","无","大奖放送+一等奖奖金1600元 二等奖1200元 三等奖700元","前三名队伍绩点加成",100076
32,"武侠剧场","2018·武侠剧场",,,,,,"无","无","电影+零食+小礼品+聊武侠…","无",100021
33,"中大答人","2018·中大答人争霸赛",,,,,"http://mp.weixin.qq.com/s/DHE8jJNt50Kp5ZrJ29oWUA","无","无","无","无",100239
